 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 271412  74628  10832 508232    0    0     0     0  704  609  1 33 67  0  0
 2  0 271412  70448  10832 508240    0    0     0     0  875  633  1 30 70  0  0
 0  0 271412  77192  10832 508244    0    0     0   116  774  702  1 36 64  0  0
 1  0 271412  70700  10832 508248    0    0     0     0  773  597  1 40 60  0  0
 1  0 271412  71352  10840 508252    0    0     0    16  760  519  1 27 73  0  0
 1  0 271412  72476  10840 508260    0    0     0     0  704  589  0 30 70  0  0
 0  0 271412  81344  10840 508264    0    0     0     0  723  652  2 30 68  0  0
 1  0 271412  72336  10840 508264    0    0     0     0  708  450  2 28 71  0  0
 2  0 271412  71272  10840 508272    0    0     0     0  681  555  1 39 61  0  0
 1  0 271412  73756  10848 508276    0    0     0    16  822  428  0 13 87  0  0
 0  0 271412  82108  10848 508280    0    0     0     0  979  761  4 25 71  0  0
 0  0 271412  75148  10848 508284    0    0     0     0  785  464  1 16 83  0  0
 0  0 271412  75364  10852 508496    0    0   428     0  878  769  4 41 55  0  0
 0  0 271412  75796  10852 508500    0    0     0  1452  745  500  1 29 70  0  0
 1  0 271412  72828  10860 508508    0    0     0    76  723  573  1 26 73  0  0
 0  0 271412  76608  10860 508512    0    0     0     0  838  478  1 28 71  0  0
 1  0 271412  73960  10860 508516    0    0     0     0  696  642  1 19 80  0  0
 1  0 271412  63728  10860 508520    0    0     0     0  788  464  0 34 66  0  0
 1  0 271412  96840  10860 508312    0    0     0   140  660  606  1 32 67  0  0
 0  0 271412  92780  10872 508320    0    0     0    36  531  432  1 14 85  0  0
 1  0 271412  90592  10872 508328    0    0     0     0  770  548  0 40 60  0  0
 0  0 271412  93616  10872 508332    0    0     0     0  711  539  2 36 62  0  0
 0  0 271412 115144  10872 508336    0    0     0     0  636  483  1 26 74  0  0
 0  0 271412  93940  10872 508340    0    0     0   100  608  403  1 21 79  0  0
 0  0 271412  85492  10884 508696    0    0     0    48 1308 2668  8 24 69  0  0
 0  0 271412  81084  10884 508700    0    0     0     0  614  697  2 14 85  0  0
 1  0 271412  80648  10884 508704    0    0     0     0  705  493  1 35 65  0  0
 2  0 271412  83500  10884 508708    0    0     0     0  779  524  1 14 86  0  0
 0  0 271412  90860  10888 508724    0    0     4  1008  578  455  1 24 76  0  0
 1  0 271412  75544  10916 508732    0    0     0   220  674  502  0 24 76  0  0
 1  0 271412  76348  10916 508736    0    0     0     0  601  443  1 22 77  0  0
 0  0 271412  84088  10916 508740    0    0     0     0  686  437  1 26 73  0  0
 2  0 271412  82360  10916 508744    0    0     0     0  708  785  3 19 78  0  0
 0  0 271412  85460  10916 508748    0    0     0     0  592  447  1 19 79  0  0
 0  0 271412  84564  10924 508752    0    0     0    44  635  457  1 21 79  0  0
 0  0 271412  87520  10924 508760    0    0     0     0  770  447  1 29 70  0  0
 2  0 271412  99040  10924 508576    0    0     0     0  695  616  0 20 80  0  0
 0  0 271412  85380  10924 508584    0    0     0     0  537  409  1 20 80  0  0
 1  0 271412  77632  10924 508588    0    0     0     0  607  505  1 28 71  0  0
 1  0 271412  85088  10932 508592    0    0     0    16  640  469  0 34 66  1  0
 0  0 271412  83988  10932 508596    0    0     0     0  494  413  1 18 81  0  0
 1  0 271412  80280  10932 508600    0    0     0     0  650  443  1 27 73  0  0
 0  0 271412  86868  10932 508604    4    0     4     0  649  598  2 33 66  0  0
 3  0 271412  95536  10932 508608    0    0     0     0  682  451  0 38 62  0  0
 1  0 271412  85428  10940 508612    0    0     0    16  777  580  1 41 59  0  0
 1  0 271412  81312  10940 508616    0    0     0     0  937  504  1 42 57  0  0
 1  0 271412  95232  10940 508620    0    0     0     0  654  424  1 25 75  0  0
 0  0 271412  88324  10940 508624    0    0     0     0  533  396  1 14 85  0  0
 0  0 271412  94944  10940 508628    0    0     0     0  656  535  0 31 69  0  0
 0  0 271412  99824  10948 508632    0    0     0    20  641  469  1 28 71  0  0
 0  0 271412 104628  10948 508636    0    0     0     0  646  467  1 23 76  0  0
 1  0 271412  92532  10948 508640    0    0     0     0  579  418  0 23 77  0  0
 0  0 271412  86696  10948 508648    0    0     0     0  636  428  1 27 72  0  0
 0  0 271412  86168  10948 508652    0    0     0     0  703  415  1 20 79  0  0
 2  0 271412  94896  10956 508656    0    0     0    16  818  542  1 29 70  0  0
 0  0 271412  99492  10964 508772    0    0   112    28  597  483  0 27 73  0  0
 1  0 271412  87836  10964 508776    0    0     0     0  645  536  1 24 75  0  0
 1  0 271412  85348  10964 508780    0    0     0     0  676  520  1 15 84  0  0
 0  0 271412  87476  10964 508784    0    0     0     0  862  548  0 23 77  0  0
 0  0 271412  88444  10964 508788    0    0     0   136  926  499  1 21 78  0  0
 0  0 271412  87324  10976 508796    0    0     0    44  858  640  1 21 78  0  0
 0  0 271412  87768  10976 508800    0    0     0     0 1205  616  0 41 59  0  0
 1  0 271412  89012  10976 508804    0    0     0     0  847  692  0 30 70  0  0
 1  0 271412  85748  10976 508808    0    0     0     0  898  736  1 38 61  0  0
 0  0 271412  86696  10976 508812    0    0     0   132  777  764  1 28 71  0  0
 0  0 271412  92680  10984 508816    0    0     0    16 1012  910  1 33 66  0  0
 0  0 271412  90972  10984 508820    0    0     0     0  764  716  1 19 80  0  0
 1  0 271412  92120  10984 508824    0    0     0     0  840  781  1 31 68  0  0
 0  0 271412  94068  10984 508832    0    0     0     0  952  934  1 30 69  0  0
 0  0 271412  80460  10984 509892    0    0    20     0 1500 3640 10 20 71  0  0
 0  0 271412  80524  10992 509908    0    0     0   104  180  458  1  0 99  0  0
 0  0 271412  80524  10992 509908    0    0     0     0   97  153  0  0 100  0  0
 1  0 271412  80524  10992 509908    0    0     0     0  112  174  0  0 100  0  0
